NAME	Neutrophils	Monocytes	MEP	CD4+ T-cells	NK cells	naive B-cells	HSC	MPP	CLP	GMP	Macrophages	CD8+ T-cells	Erythrocytes	Megakaryocytes	CMP	Macrophages M1	Macrophages M2	Endothelial cells	Plasma cells	Chondrocytes	Fibroblasts	Smooth muscle	Epithelial cells	Melanocytes	Skeletal muscle	Keratinocytes	mv Endothelial cells	Myocytes	Adipocytes	Neurons	Pericytes	Preadipocytes	Astrocytes	Mesangial cells
A2M	2.429 	1.200 	3.599 	1.027 	1.060 	1.100 	3.415 	2.070 	5.515 	1.305 	278.906 	1.015 	1.535 	1.333 	1.006 	211.119 	887.663 	11.628 	1.093 	1.238 	7.354 	2.859 	1.004 	6.052 	57.294 	1.000 	14.382 	11.327 	154.595 	4.948 	1.622 	1.872 	2.014 	1.000 
ABCA6	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.817 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.828 	1.088 	6.230 	2.942 	2.385 	7.447 	9.274 	1.000 	1.109 	16.088 	1.000 	1.852 	3.350 	90.444 	3.675 	1.613 	54.275 	1.000 	1.000 
ABCB5	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	205.198 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
ABCC2	4.768 	1.000 	1.000 	1.631 	1.000 	1.332 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.052 	1.000 	1.000 	1.000 	1.000 	42.468 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	5.157 	1.000 	1.000 
ABCC4	1.000 	2.099 	7.855 	2.976 	2.250 	1.000 	2.527 	5.359 	3.841 	2.460 	2.505 	3.356 	12.653 	111.144 	1.000 	2.613 	2.367 	3.967 	4.734 	5.458 	5.029 	13.645 	5.187 	4.662 	3.899 	2.418 	4.559 	6.764 	1.383 	1.000 	62.560 	8.204 	3.513 	13.296 
ABCG2	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	4.729 	1.000 	2.740 	1.000 	8.101 	1.000 	1.000 	4.275 	113.936 	3.231 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.355 	3.405 	2.924 	1.014 	1.245 	12.631 	1.000 	1.000 	1.000 
ABI3BP	3.025 	1.159 	1.467 	1.113 	1.234 	1.306 	5.727 	1.540 	2.372 	1.574 	1.014 	1.075 	1.962 	1.110 	1.028 	1.043 	1.060 	3.155 	1.296 	331.197 	5.413 	4.042 	1.049 	1.029 	8.686 	1.140 	3.169 	58.459 	50.823 	1.106 	1.467 	42.221 	1.005 	1.001 
ACACB	3.626 	2.142 	2.867 	6.682 	1.651 	4.831 	1.000 	1.825 	1.000 	2.712 	1.898 	1.524 	1.000 	1.000 	11.100 	1.000 	1.638 	1.089 	6.835 	1.925 	1.450 	1.726 	1.023 	2.743 	289.242 	1.000 	1.088 	1.071 	608.372 	1.000 	1.084 	1.707 	1.000 	1.006 
ACAN	1.012 	1.000 	1.000 	1.000 	1.000 	1.000 	1.007 	1.000 	1.001 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	708.426 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.720 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
ACP5	1.000 	14.073 	1.000 	11.028 	9.506 	16.422 	1.000 	1.000 	1.000 	1.000 	1193.395 	7.649 	1.000 	1.393 	1.000 	330.750 	1213.312 	1.000 	6.252 	1.000 	1.000 	1.000 	1.162 	55.355 	1.000 	10.672 	1.000 	1.000 	16.990 	1.000 	3.053 	1.000 	1.038 	3.278 
ACRBP	3.783 	7.057 	14.029 	1.354 	1.000 	1.342 	16.098 	23.892 	9.988 	12.802 	1.396 	1.649 	3.541 	52.195 	3.398 	1.000 	1.000 	1.000 	2.027 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.707 
ACSM3	1.000 	3.485 	27.163 	5.048 	2.293 	14.292 	14.683 	26.294 	13.097 	17.215 	1.000 	4.864 	22.966 	5.622 	58.130 	1.000 	1.150 	1.647 	2.305 	1.000 	1.000 	1.000 	1.006 	1.000 	1.000 	1.064 	1.000 	1.000 	1.020 	1.000 	1.000 	1.000 	1.000 	2.653 
ACSS1	1.000 	4.252 	9.245 	9.510 	23.142 	30.526 	7.299 	9.511 	4.745 	5.662 	3.498 	11.276 	6.149 	3.058 	9.563 	2.358 	2.077 	2.993 	173.422 	1.494 	1.024 	1.071 	1.183 	5.544 	4.628 	1.420 	5.002 	1.000 	4.624 	1.589 	1.000 	1.085 	1.000 	1.918 
ACTA1	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	10248.629 	1.000 	1.000 	35.129 	1.000 	1.315 	1.000 	1.000 	1.000 	1.000 
