NAME	B cells	Ductal cells 1	Myeloid & Macrophage	T and NK cells	Perivascular cells	Acinar cells	Activated DC	Fenestrated EC	Mast cells	pDCs	Plasma cells	myCAF	ICAF
LUM	1.000 	12.161 	3.942 	4.097 	25.885 	5.716 	6.270 	3.103 	4.281 	3.153 	7.906 	431.670 	431.670 
IGFBP7	6.679 	8.529 	12.144 	6.963 	431.670 	8.388 	18.818 	356.910 	4.324 	5.439 	11.112 	397.055 	184.205 
COL1A1	1.000 	1.663 	3.422 	1.000 	71.234 	5.470 	19.067 	1.000 	1.000 	2.634 	8.220 	313.848 	343.891 
COL1A2	1.000 	1.000 	2.278 	1.000 	92.696 	6.435 	5.582 	3.293 	7.000 	4.407 	8.835 	302.128 	343.891 
DCN	1.000 	1.000 	1.769 	1.000 	79.448 	1.000 	4.250 	1.973 	7.013 	4.736 	6.121 	287.675 	397.055 
SPARC	1.000 	1.154 	4.017 	1.000 	169.228 	8.492 	1.000 	161.274 	4.686 	2.341 	6.896 	287.675 	209.178 
COL3A1	1.447 	1.003 	2.115 	1.544 	80.679 	1.321 	7.145 	3.694 	4.663 	3.312 	5.378 	285.323 	298.717 
MGP	4.114 	1.033 	2.319 	1.000 	179.219 	3.198 	4.634 	168.102 	4.435 	2.071 	11.018 	253.794 	313.848 
SFRP2	1.000 	1.000 	1.000 	1.000 	1.851 	3.065 	9.414 	5.302 	1.000 	1.000 	3.605 	227.729 	140.195 
BGN	1.000 	1.000 	1.000 	1.000 	149.931 	1.000 	1.000 	22.606 	1.000 	1.000 	4.382 	224.739 	69.975 
CALD1	1.000 	2.099 	1.000 	1.000 	253.140 	3.898 	1.000 	70.773 	1.000 	1.996 	1.299 	215.186 	101.329 
C1S	1.000 	1.000 	1.000 	1.000 	75.123 	4.415 	11.223 	3.747 	1.000 	2.886 	3.242 	196.683 	263.698 
SERPINF1	1.679 	1.325 	17.400 	1.712 	80.713 	16.835 	33.626 	1.701 	5.553 	110.670 	4.687 	193.978 	242.021 
